# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
5.27	20	4.47214	2.29455e-016	2.29455e-016	1.09601e-042	1
5.29	24	4.89898	5.21529e-016	5.21529e-016	4.42277e-042	1
5.3	27	5.19615	7.84004e-016	7.84004e-016	8.85294e-042	1
5.32	21	4.58258	1.76157e-015	1.76157e-015	3.52193e-041	1
5.33	27	5.19615	2.63293e-015	2.63293e-015	6.99971e-041	1
5.35	16	4	5.8482e-015	5.8482e-015	2.74527e-040	1
5.36	31	5.56776	8.69087e-015	8.69087e-015	5.4174e-040	1
5.38	37	6.08276	1.9083e-014	1.9083e-014	2.09463e-039	1
5.4	30	5.47723	4.15811e-014	4.15811e-014	8.02232e-039	1
5.41	28	5.2915	6.12029e-014	6.12029e-014	1.56441e-038	1
5.43	24	4.89898	1.31833e-013	1.31833e-013	5.90682e-038	1
5.44	27	5.19615	1.9293e-013	1.9293e-013	1.14369e-037	1
5.46	30	5.47723	4.1082e-013	4.1082e-013	4.25721e-037	1
5.48	28	5.2915	8.68104e-013	8.68104e-013	1.5697e-036	1
5.49	19	4.3589	1.25829e-012	1.25829e-012	3.00342e-036	1
5.51	26	5.09902	2.62847e-012	2.62847e-012	1.09174e-035	1
5.52	35	5.91608	3.78803e-012	3.78803e-012	2.07407e-035	1
5.54	41	6.40312	7.82232e-012	7.82232e-012	7.43258e-035	1
5.55	33	5.74456	1.12085e-011	1.12085e-011	1.40201e-034	1
5.57	37	6.08276	2.28807e-011	2.28807e-011	4.95312e-034	1
5.59	35	5.91608	4.63511e-011	4.63511e-011	1.73333e-033	1
5.6	32	5.65685	6.57818e-011	6.57818e-011	3.23099e-033	1
5.62	37	6.08276	1.31734e-010	1.31734e-010	1.11468e-032	1
5.63	30	5.47723	1.85885e-010	1.85885e-010	2.06306e-032	1
5.65	38	6.16441	3.6799e-010	3.6799e-010	7.0168e-032	1
5.67	31	5.56776	7.22929e-010	7.22929e-010	2.36397e-031	1
5.68	31	5.56776	1.01036e-009	1.01036e-009	4.3236e-031	1
5.7	35	5.91608	1.96217e-009	1.96217e-009	1.43602e-030	1
5.71	50	7.07107	2.72658e-009	2.72658e-009	2.60777e-030	1
5.73	19	4.3589	5.23456e-009	5.23456e-009	8.53879e-030	1
5.74	35	5.91608	7.23205e-009	7.23205e-009	1.53962e-029	1
5.76	30	5.47723	1.37254e-008	1.37254e-008	4.96994e-029	1
5.78	30	5.47723	2.58497e-008	2.58497e-008	1.58915e-028	1
5.79	39	6.245	3.53729e-008	3.53729e-008	2.83155e-028	1
5.81	25	5	6.5857e-008	6.5857e-008	8.92587e-028	1
5.82	23	4.79583	8.9602e-008	8.9602e-008	1.57912e-027	1
5.84	32	5.65685	1.64911e-007	1.64911e-007	4.90743e-027	1
5.85	30	5.47723	2.23083e-007	2.23083e-007	8.62038e-027	1
