# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
4.24	38	6.16441	2.82101e-006	3.75802e-061	3.06319e-114	2.82101e-006	1
4.26	40	6.32456	3.97012e-006	1.45861e-060	2.30568e-113	3.97012e-006	1
4.27	33	5.74456	4.70424e-006	2.86689e-060	6.30765e-113	4.70424e-006	1
4.29	49	7	6.5892e-006	1.10232e-059	4.69373e-112	6.5892e-006	1
4.3	30	5.47723	7.78917e-006	2.15644e-059	1.27673e-111	7.78917e-006	1
4.32	38	6.16441	1.08588e-005	8.21399e-059	9.39238e-111	1.08588e-005	1
4.34	34	5.83095	1.50904e-005	3.1092e-058	6.85701e-110	1.50904e-005	1
4.35	35	5.91608	1.77683e-005	6.03497e-058	1.84744e-109	1.77683e-005	1
4.37	33	5.74456	2.4576e-005	2.26301e-057	1.33339e-108	2.4576e-005	1
4.38	36	6	2.88689e-005	4.37192e-057	3.57194e-108	2.88689e-005	1
4.4	41	6.40312	3.97411e-005	1.62405e-056	2.54867e-107	3.97411e-005	1
4.42	34	5.83095	5.45357e-005	5.99525e-056	1.80471e-106	5.45357e-005	1
4.43	37	6.08276	6.38098e-005	1.14919e-055	4.78863e-106	6.38098e-005	1
4.45	45	6.7082	8.71513e-005	4.20256e-055	3.3522e-105	8.71513e-005	1
4.46	41	6.40312	0.000101731	8.01781e-055	8.84394e-105	0.000101731	1
4.48	58	7.61577	0.000138288	2.90467e-054	6.12054e-104	0.000138288	1
4.49	45	6.7082	0.000161041	5.51565e-054	1.60553e-103	0.000161041	1
4.51	43	6.55744	0.000217878	1.9795e-053	1.09847e-102	0.000217878	1
4.53	38	6.16441	0.000293847	7.05979e-053	7.45832e-102	0.000293847	1
4.54	43	6.55744	0.000340848	1.33012e-052	1.93787e-101	0.000340848	1
4.56	44	6.63325	0.000457523	4.69941e-052	1.30077e-100	0.000457523	1
4.57	37	6.08276	0.000529451	8.81251e-052	3.36045e-100	0.000529451	1
4.59	35	5.91608	0.000707332	3.0844e-051	2.22998e-099	0.000707332	1
4.6	32	5.65685	0.000816599	5.75686e-051	5.72808e-099	0.000816599	1
4.62	32	5.65685	0.00108581	1.99606e-050	3.75784e-098	0.00108581	1
4.64	35	5.91608	0.00143922	6.87766e-050	2.44653e-097	0.00143922	1
4.65	40	6.32456	0.001655	1.27366e-049	6.22463e-097	0.001655	1
4.67	33	5.74456	0.00218332	4.34747e-049	4.00637e-096	0.00218332	1
4.68	34	5.83095	0.00250475	8.01324e-049	1.01351e-095	0.00250475	1
4.7	36	6	0.00328873	2.70962e-048	6.44896e-095	0.00328873	1
4.72	36	6	0.0043045	9.10517e-048	4.07227e-094	0.0043045	1
4.73	46	6.78233	0.00491877	1.66516e-047	1.02039e-093	0.00491877	1
4.75	38	6.16441	0.00640762	5.54311e-047	6.36998e-093	0.00640762	1
4.76	39	6.245	0.00730472	1.00898e-046	1.58701e-092	0.00730472	1
4.78	33	5.74456	0.00947085	3.32732e-046	9.79439e-092	0.00947085	1
4.79	37	6.08276	0.0107713	6.0281e-046	2.42623e-091	0.0107713	1
4.81	27	5.19615	0.0138995	1.9693e-045	1.48032e-090	0.0138995	1
4.83	27	5.19615	0.0178797	6.39322e-045	8.96316e-090	0.0178797	1
4.84	28	5.2915	0.0202548	1.14922e-044	2.19923e-089	0.0202548	1
4.86	33	5.74456	0.0259319	3.69598e-044	1.31644e-088	0.0259319	1
4.87	28	5.2915	0.0293071	6.6126e-044	3.21162e-088	0.0293071	1
4.89	29	5.38516	0.0373444	2.10676e-043	1.90056e-087	0.0373444	1
4.91	29	5.38516	0.047436	6.67017e-043	1.11615e-086	0.047436	1
4.92	30	5.47723	0.0533993	1.18407e-042	2.69711e-086	0.0533993	1
4.94	32	5.65685	0.0675092	3.71378e-042	1.5659e-085	0.0675092	1
4.95	32	5.65685	0.0758164	6.56167e-042	3.76229e-085	0.0758164	1
4.97	24	4.89898	0.0953974	2.03878e-041	2.15945e-084	0.0953974	1
4.98	35	5.91608	0.106883	3.58532e-041	5.15876e-084	0.106883	1
5	30	5.47723	0.133853	1.10357e-040	2.92726e-083	0.133853	1
5.02	23	4.79583	0.1671	3.37561e-040	1.6484e-082	0.1671	1
5.03	39	6.245	0.186482	5.88988e-040	3.90048e-082	0.186482	1
5.05	27	5.19615	0.231703	1.78474e-039	2.17142e-081	0.231703	1
5.06	22	4.69042	0.257968	3.09948e-039	5.10872e-081	0.257968	1
5.08	31	5.56776	0.31901	9.3041e-039	2.81166e-080	0.31901	1
5.1	17	4.12311	0.393255	2.77548e-038	1.53567e-079	0.393255	1
5.11	23	4.79583	0.43611	4.78244e-038	3.57866e-079	0.43611	1
5.13	23	4.79583	0.535071	1.41329e-037	1.93232e-078	0.535071	1
5.14	35	5.91608	0.591978	2.42382e-037	4.47729e-078	0.591978	1
5.16	24	4.89898	0.72288	7.09576e-037	2.39001e-077	0.72288	1
5.17	22	4.69042	0.797871	1.21123e-036	5.50616e-077	0.797871	1
5.19	20	4.47214	0.969703	3.51271e-036	2.90575e-076	0.969703	1
5.21	21	4.58258	1.17483	1.01236e-035	1.52178e-075	1.17483	1
5.22	25	5	1.29161	1.7146e-035	3.4726e-075	1.29161	1
5.24	18	4.24264	1.55744	4.89523e-035	1.79793e-074	1.55744	1
5.25	18	4.24264	1.7082	8.25198e-035	4.07934e-074	1.7082	1
5.27	28	5.2915	2.05006	2.33392e-034	2.08802e-073	2.05006	1
5.29	19	4.3589	2.45258	6.55983e-034	1.06062e-072	2.45258	1
5.3	21	4.58258	2.67941	1.09717e-033	2.38359e-072	2.67941	1
5.32	27	5.19615	3.19037	3.05491e-033	1.19697e-071	3.19037	1
5.33	32	5.65685	3.4772	5.08557e-033	2.67465e-071	3.4772	1
5.35	29	5.38516	4.12076	1.40275e-032	1.32784e-070	4.12076	1
5.36	31	5.56776	4.48062	2.32423e-032	2.95013e-070	4.48062	1
5.38	33	5.74456	5.28484	6.35094e-032	1.44792e-069	5.28484	1
5.4	16	4	6.21378	1.72454e-031	7.05232e-069	6.21378	1
