Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
173.50	-4.0782
173.33	-4.0773
173.17	-4.0763
173.00	-4.0754
172.83	-4.0745
172.67	-4.0736
172.50	-4.0726
172.33	-4.0720
172.17	-4.0711
172.00	-4.0702
171.83	-4.0696
171.67	-4.0689
171.50	-4.0680
171.33	-4.0674
171.17	-4.0668
171.00	-4.0662
170.83	-4.0655
170.67	-4.0649
170.50	-4.0643
170.33	-4.0634
170.17	-4.0625
170.00	-4.0612
169.83	-4.0603
169.67	-4.0594
169.50	-4.0584
169.33	-4.0572
169.17	-4.0563
169.00	-4.0554
168.83	-4.0541
168.67	-4.0529
168.50	-4.0517
168.33	-4.0504
168.17	-4.0492
168.00	-4.0479
167.83	-4.0470
167.67	-4.0458
167.50	-4.0449
167.33	-4.0436
167.17	-4.0427
167.00	-4.0415
166.83	-4.0405
166.67	-4.0393
166.50	-4.0381
166.33	-4.0371
166.17	-4.0359
166.00	-4.0347
165.83	-4.0334
165.67	-4.0322
165.50	-4.0307
165.33	-4.0294
165.17	-4.0279
165.00	-4.0266
164.83	-4.0257
164.67	-4.0245
164.50	-4.0233
164.33	-4.0223
164.17	-4.0214
164.00	-4.0205
163.83	-4.0195
163.67	-4.0183
163.50	-4.0174
163.33	-4.0162
163.17	-4.0149
163.00	-4.0134
162.83	-4.0121
162.67	-4.0106
162.50	-4.0094
162.33	-4.0078
162.17	-4.0063
162.00	-4.0050
161.83	-4.0035
161.67	-4.0020
161.50	-4.0004
161.33	-3.9989
161.17	-3.9976
161.00	-3.9961
160.83	-3.9945
160.67	-3.9933
160.50	-3.9918
160.33	-3.9905
160.17	-3.9893
160.00	-3.9878
159.83	-3.9862
159.67	-3.9850
159.50	-3.9834
159.33	-3.9819
159.17	-3.9800
159.00	-3.9785
158.83	-3.9769
158.67	-3.9754
158.50	-3.9739
158.33	-3.9720
158.17	-3.9705
158.00	-3.9689
157.83	-3.9671
157.67	-3.9655
157.50	-3.9637
157.33	-3.9621
157.17	-3.9603
157.00	-3.9587
156.83	-3.9569
156.67	-3.9553
156.50	-3.9535
156.33	-3.9523
156.17	-3.9507
156.00	-3.9492
155.83	-3.9479
155.67	-3.9467
155.50	-3.9455
155.33	-3.9439
155.17	-3.9427
155.00	-3.9414
154.83	-3.9399
154.67	-3.9387
154.50	-3.9371
154.33	-3.9356
154.17	-3.9340
154.00	-3.9322
153.83	-3.9306
153.67	-3.9288
153.50	-3.9269
153.33	-3.9251
153.17	-3.9232
153.00	-3.9214
152.83	-3.9195
152.67	-3.9177
152.50	-3.9158
152.33	-3.9140
152.17	-3.9121
152.00	-3.9106
151.83	-3.9084
151.67	-3.9066
151.50	-3.9047
151.33	-3.9032
151.17	-3.9010
151.00	-3.8992
150.83	-3.8976
150.67	-3.8955
150.50	-3.8936
150.33	-3.8917
150.17	-3.8899
150.00	-3.8880
149.83	-3.8862
149.67	-3.8843
149.50	-3.8825
149.33	-3.8809
149.17	-3.8788
149.00	-3.8769
148.83	-3.8748
148.67	-3.8729
148.50	-3.8711
148.33	-3.8689
148.17	-3.8667
148.00	-3.8646
147.83	-3.8624
147.67	-3.8600
147.50	-3.8578
147.33	-3.8553
147.17	-3.8529
147.00	-3.8504
146.83	-3.8482
146.67	-3.8458
146.50	-3.8436
146.33	-3.8411
146.17	-3.8387
146.00	-3.8362
145.83	-3.8337
145.67	-3.8312
145.50	-3.8288
145.33	-3.8266
145.17	-3.8245
