# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
5.97	30	5.47723	1.2313e-014	1.2313e-014	1.23231e-025	1
5.98	32	5.65685	1.83666e-014	1.83666e-014	1.94442e-025	1
6	41	6.40312	4.06222e-014	4.06222e-014	4.81736e-025	1
6.01	42	6.48074	6.02328e-014	6.02328e-014	7.56409e-025	1
6.03	29	5.38516	1.31637e-013	1.31637e-013	1.85579e-024	1
6.04	32	5.65685	1.94023e-013	1.94023e-013	2.8997e-024	1
6.06	34	5.83095	4.18993e-013	4.18993e-013	7.04495e-024	1
6.08	40	6.32456	8.97638e-013	8.97638e-013	1.70048e-023	1
6.09	49	7	1.30994e-012	1.30994e-012	2.63546e-023	1
6.11	38	6.16441	2.77303e-012	2.77303e-012	6.29947e-023	1
6.12	33	5.74456	4.02262e-012	4.02262e-012	9.71552e-023	1
6.14	36	6	8.4144e-012	8.4144e-012	2.29968e-022	1
6.16	43	6.55744	1.74613e-011	1.74613e-011	5.40799e-022	1
6.17	38	6.16441	2.50788e-011	2.50788e-011	8.27291e-022	1
6.19	49	7	5.14245e-011	5.14245e-011	1.92655e-021	1
6.2	50	7.07107	7.34183e-011	7.34183e-011	2.93279e-021	1
6.22	59	7.68115	1.48757e-010	1.48757e-010	6.76326e-021	1
6.23	42	6.48074	2.11114e-010	2.11114e-010	1.02455e-020	1
6.25	41	6.40312	4.22669e-010	4.22669e-010	2.3397e-020	1
6.27	44	6.63325	8.39506e-010	8.39506e-010	5.30833e-020	1
6.28	48	6.9282	1.17961e-009	1.17961e-009	7.97619e-020	1
6.3	56	7.48331	2.31511e-009	2.31511e-009	1.79203e-019	1
6.31	50	7.07107	3.23363e-009	3.23363e-009	2.67954e-019	1
6.33	44	6.63325	6.27094e-009	6.27094e-009	5.96161e-019	1
6.35	64	8	1.20647e-008	1.20647e-008	1.31776e-018	1
6.36	42	6.48074	1.66844e-008	1.66844e-008	1.95439e-018	1
6.38	29	5.38516	3.17177e-008	3.17177e-008	4.27796e-018	1
6.39	40	6.32456	4.36014e-008	4.36014e-008	6.31376e-018	1
6.41	48	6.9282	8.19036e-008	8.19036e-008	1.36857e-017	1
6.42	50	7.07107	1.1192e-007	1.1192e-007	2.01e-017	1
6.44	41	6.40312	2.0774e-007	2.0774e-007	4.31447e-017	1
6.46	57	7.54983	3.82535e-007	3.82535e-007	9.20087e-017	1
6.47	46	6.78233	5.17547e-007	5.17547e-007	1.34035e-016	1
6.49	35	5.91608	9.41699e-007	9.41699e-007	2.83056e-016	1
6.5	46	6.78233	1.26647e-006	1.26647e-006	4.10334e-016	1
6.52	38	6.16441	2.27702e-006	2.27702e-006	8.58114e-016	1
6.54	57	7.54983	4.06143e-006	4.06143e-006	1.78288e-015	1
